Source,Target,Weight,Type
bre_charette,bre_graal,2,undirected
bre_charette,bre_yvain,3,undirected
bre_charette,rom_eracle,1,undirected
bre_graal,bre_charette,2,undirected
bre_graal,bre_yvain,6,undirected
bre_graal,rom_eracle,1,undirected
bre_graal,rom_thebes,2,undirected
bre_graalcont,bre_tristanber,1,undirected
bre_graalcont,bre_yvain,2,undirected
bre_graalcont,rom_thebes,3,undirected
bre_graalcontun,fra_aliscans,2,undirected
bre_graalcontun,fra_aspremont,3,undirected
bre_graalcontun,rom_eracle,1,undirected
bre_tristanber,bre_graalcont,1,undirected
bre_tristanber,bre_tristantho,6,undirected
bre_tristanber,fra_aspremont,3,undirected
bre_tristanber,fra_bertes,1,undirected
bre_tristanber,fra_louis,1,undirected
bre_tristanber,fra_ogier,3,undirected
bre_tristantho,bre_tristanber,6,undirected
bre_tristantho,fra_aspremont,1,undirected
bre_tristantho,rom_pyramus,4,undirected
bre_yvain,bre_charette,3,undirected
bre_yvain,bre_graal,6,undirected
bre_yvain,bre_graalcont,2,undirected
bre_yvain,rom_eneas,1,undirected
bre_yvain,rom_eracle,4,undirected
fra_aliscans,bre_graalcontun,2,undirected
fra_aliscans,fra_aspremont,2,undirected
fra_aliscans,fra_bertes,2,undirected
fra_aliscans,fra_louis,3,undirected
fra_aliscans,rom_alexandre,2,undirected
fra_aspremont,bre_graalcontun,3,undirected
fra_aspremont,bre_tristanber,3,undirected
fra_aspremont,bre_tristantho,1,undirected
fra_aspremont,fra_aliscans,2,undirected
fra_aspremont,fra_charroi,6,undirected
fra_aspremont,fra_huon,2,undirected
fra_aspremont,fra_louis,5,undirected
fra_aspremont,fra_ogier,1,undirected
fra_aspremont,fra_saxons,1,undirected
fra_aspremont,rom_thebes,1,undirected
fra_bertes,bre_tristanber,1,undirected
fra_bertes,fra_aliscans,2,undirected
fra_bertes,rom_alexandre,3,undirected
fra_charroi,fra_aspremont,6,undirected
fra_charroi,fra_huon,1,undirected
fra_charroi,fra_louis,4,undirected
fra_charroi,fra_saxons,1,undirected
fra_charroi,rom_alexandre,2,undirected
fra_huon,fra_aspremont,2,undirected
fra_huon,fra_charroi,1,undirected
fra_huon,fra_louis,3,undirected
fra_louis,bre_tristanber,1,undirected
fra_louis,fra_aliscans,3,undirected
fra_louis,fra_aspremont,5,undirected
fra_louis,fra_charroi,4,undirected
fra_louis,fra_huon,3,undirected
fra_louis,fra_ogier,2,undirected
fra_louis,fra_saxons,3,undirected
fra_louis,rom_alexandre,3,undirected
fra_louis,rom_eneas,2,undirected
fra_louis,rom_eracle,1,undirected
fra_louis,rom_pyramus,1,undirected
fra_ogier,bre_tristanber,3,undirected
fra_ogier,fra_aspremont,1,undirected
fra_ogier,fra_louis,2,undirected
fra_saxons,fra_aspremont,1,undirected
fra_saxons,fra_charroi,1,undirected
fra_saxons,fra_louis,3,undirected
fra_saxons,rom_pyramus,6,undirected
fra_saxons,rom_thebes,3,undirected
rom_alexandre,fra_aliscans,2,undirected
rom_alexandre,fra_bertes,3,undirected
rom_alexandre,fra_charroi,2,undirected
rom_alexandre,fra_louis,3,undirected
rom_eneas,bre_yvain,1,undirected
rom_eneas,fra_louis,2,undirected
rom_eneas,rom_eracle,4,undirected
rom_eneas,rom_thebes,5,undirected
rom_eracle,bre_charette,1,undirected
rom_eracle,bre_graal,1,undirected
rom_eracle,bre_graalcontun,1,undirected
rom_eracle,bre_yvain,4,undirected
rom_eracle,fra_louis,1,undirected
rom_eracle,rom_eneas,4,undirected
rom_pyramus,bre_tristantho,4,undirected
rom_pyramus,fra_louis,1,undirected
rom_pyramus,fra_saxons,6,undirected
rom_thebes,bre_graal,2,undirected
rom_thebes,bre_graalcont,3,undirected
rom_thebes,fra_aspremont,1,undirected
rom_thebes,fra_saxons,3,undirected
rom_thebes,rom_eneas,5,undirected
