Source,Target,Weight,Type
bre_charette,bre_graal,17,undirected
bre_charette,bre_yvain,10,undirected
bre_charette,rom_alexandre,2,undirected
bre_charette,rom_eracle,2,undirected
bre_charette,rom_thebes,1,undirected
bre_graal,bre_charette,17,undirected
bre_graal,bre_graalcont,6,undirected
bre_graal,bre_yvain,30,undirected
bre_graal,rom_eracle,8,undirected
bre_graal,rom_thebes,10,undirected
bre_graalcont,bre_graal,6,undirected
bre_graalcont,bre_tristanber,1,undirected
bre_graalcont,bre_yvain,7,undirected
bre_graalcont,fra_bertes,2,undirected
bre_graalcont,rom_alexandre,2,undirected
bre_graalcont,rom_thebes,15,undirected
bre_graalcontun,fra_aliscans,12,undirected
bre_graalcontun,fra_aspremont,11,undirected
bre_graalcontun,rom_alexandre,1,undirected
bre_graalcontun,rom_eneas,2,undirected
bre_graalcontun,rom_eracle,4,undirected
bre_tristanber,bre_graalcont,1,undirected
bre_tristanber,bre_tristantho,22,undirected
bre_tristanber,fra_aliscans,2,undirected
bre_tristanber,fra_aspremont,14,undirected
bre_tristanber,fra_huon,1,undirected
bre_tristanber,fra_ogier,9,undirected
bre_tristanber,rom_thebes,12,undirected
bre_tristantho,bre_tristanber,22,undirected
bre_tristantho,bre_yvain,2,undirected
bre_tristantho,fra_aliscans,8,undirected
bre_tristantho,fra_aspremont,8,undirected
bre_tristantho,rom_pyramus,3,undirected
bre_yvain,bre_charette,10,undirected
bre_yvain,bre_graal,30,undirected
bre_yvain,bre_graalcont,7,undirected
bre_yvain,bre_tristantho,2,undirected
bre_yvain,rom_eneas,4,undirected
bre_yvain,rom_eracle,10,undirected
fra_aliscans,bre_graalcontun,12,undirected
fra_aliscans,bre_tristanber,2,undirected
fra_aliscans,bre_tristantho,8,undirected
fra_aliscans,fra_aspremont,10,undirected
fra_aliscans,fra_bertes,18,undirected
fra_aliscans,fra_louis,24,undirected
fra_aliscans,fra_saxons,1,undirected
fra_aliscans,rom_alexandre,5,undirected
fra_aspremont,bre_graalcontun,11,undirected
fra_aspremont,bre_tristanber,14,undirected
fra_aspremont,bre_tristantho,8,undirected
fra_aspremont,fra_aliscans,10,undirected
fra_aspremont,fra_bertes,3,undirected
fra_aspremont,fra_charroi,26,undirected
fra_aspremont,fra_huon,7,undirected
fra_aspremont,fra_louis,29,undirected
fra_aspremont,fra_ogier,2,undirected
fra_aspremont,fra_saxons,3,undirected
fra_aspremont,rom_alexandre,3,undirected
fra_aspremont,rom_eneas,1,undirected
fra_aspremont,rom_pyramus,1,undirected
fra_aspremont,rom_thebes,1,undirected
fra_bertes,bre_graalcont,2,undirected
fra_bertes,fra_aliscans,18,undirected
